scenario,mode,seed,controller,wall,radial_rms,radial_max,dc_ex,dc_ey,std_x,std_y,depth_std,pitch_mean,pitch_max,IAE,IAE_norm,settling_time,ss_error,control_effort,slew,sat_freq,band_dc,band_wave,band_high,est_err_rms,w_x,w_y,n_fail
dp,C,0,pid,0.31,16.530560362640852,18.563076990576942,16.36055407434896,-1.44574549733311,1.852004774085864,0.2675715921407484,0.19770376906219247,10.544407866626216,12.243880741152767,125.53786287028896,16.425214273594726,0.0,16.425214273594726,15.363485469143033,3.2333378383379316,0.0,5.075305255429287e-16,1.5012519374454127,0.7080219172068825,0.0,0.0,0.0,0
dp,C,0,mpc,0.44,2.9480034326211118,11.180339887498949,2.945491926782046,0.000778455533810876,0.12155515358263308,0.005028583511296806,0.11761172939896733,7.05133017038054,15.04708937973182,31.04968014184385,2.9454962766599757,1.1060000000000008,2.9454962766599757,20.487456890940017,14.63620083006585,0.0,1.7302177007145295e-16,0.11728509379258119,0.0174947772263897,0.0,0.0,0.0,0
dp,C,0,dobmpc,4.03,0.39407992952998194,11.180339887498949,-0.3259436071345188,0.0009519713832180344,0.2214417927023381,0.004730964146370152,0.06689599599003676,7.346432690477598,16.852176297144073,10.349014403309845,0.33681028879054303,0.8040000000000006,0.33681028879054303,24.116156069287587,19.868118416763597,0.0,4.109267039197008e-17,0.21657720180165707,0.012159463770356127,0.009193319417693661,1.5418817697969414,-2.492794380950755e-05,0
dp,CD,0,pid,0.34,15.98974317446881,18.278027342519415,15.793035958213311,-1.4454052356463376,2.022644196501342,0.267611971292006,0.2029243842821867,10.042046773795377,11.441957732996883,122.92221975466522,15.859955502864768,0.0,15.859955502864768,14.869601285009802,3.205084527278567,0.0,1.637939423343088e-15,1.6431983257000984,0.7710682006367705,0.0,0.0,0.0,0
dp,CD,0,mpc,0.47,2.8299145604602316,11.180339887498949,2.827006056778155,0.0007820614034867683,0.12816920745946,0.005021661440644665,0.12128292091592584,6.575128408865481,14.907766863065135,30.460958913477437,2.8270105205324025,1.1060000000000008,2.8270105205324025,19.989051999878644,15.005769930418479,0.0,3.5757832481433615e-16,0.12595113087077564,0.012335753354291447,0.0,0.0,0.0,0
dp,CD,0,dobmpc,4.16,0.38676359054192244,11.180339887498949,-0.32080266010549363,0.000950534453211077,0.21598232442760673,0.004739225381877525,0.06119324528074943,6.864458079298257,16.738439336660633,10.324777255378876,0.33066512302414935,0.8040000000000006,0.33066512302414935,23.65645934291649,33.25194690276381,0.0,3.9650822308041306e-17,0.21106389462828323,0.010546217783444842,0.042014706659039024,1.47937201740603,-2.317841564187303e-05,0
dp,CW,0,pid,0.56,13.507386372717448,23.044851442255833,7.426616621557924,6.018222953807029,8.351134070671854,4.618918097369399,0.19999605744802704,4.19028957289975,8.564518182163415,78.41720316840255,12.896843229072013,0.0,12.896843229072013,15.442652444823938,12.086638098953237,0.0,2.0762612408574356e-16,6.5711760057948005,3.3581314681758188,0.0,0.0,0.0,0
dp,CW,0,mpc,0.69,3.2863875803069673,11.180339887498949,2.5166669572005804,0.6787001762318908,1.226487072127679,1.581716247377237,0.09780395062666783,8.0188710967379,11.377948776723882,24.630328971714658,3.208293471759759,0.7540000000000006,3.208293471759759,29.490842486607473,32.6867105512078,0.0,2.335793895964615e-16,0.9761085234591959,0.47419778414188785,0.0,0.0,0.0,0
dp,CW,0,dobmpc,6.15,0.4680489771856835,11.180339887498949,-0.14400809017898192,-0.0671486499291225,0.4373919696524001,0.050108269815039,0.11372567534511258,8.614445806820921,14.160318348927508,12.269693717376189,0.4227404444163116,0.8540000000000006,0.4227404444163116,27.01933597292233,33.48279382913442,0.0,5.7673923357150985e-18,0.4343367948542511,0.028168297175292303,0.0427474264745771,1.6654043307097433,-0.10674132293392516,0
dp,CDW,0,pid,0.58,13.264473758351336,22.597068641627764,7.0769195573001475,6.014814108469846,8.265919042327736,4.621695283305652,0.2028262356029862,4.013057530703505,8.242510535459147,77.87522579422468,12.697341770579198,0.0,12.697341770579198,15.273781916299056,12.095575369863836,0.0,3.5757832481433615e-16,6.500026617247035,3.3263959096968834,0.0,0.0,0.0,0
