scenario,mode,controller,metric,mean,std
dp,CD,dobmpc,ss_error,0.3307,0.0000
dp,CD,dobmpc,control_effort,23.6565,0.0000
dp,CD,dobmpc,slew,33.2519,0.0000
dp,CD,dobmpc,sat_freq,0.0000,0.0000
dp,CD,dobmpc,band_dc,0.0000,0.0000
dp,CD,dobmpc,band_wave,0.2111,0.0000
dp,CD,dobmpc,band_high,0.0105,0.0000
dp,CD,dobmpc,est_err_rms,0.0420,0.0000
dp,CD,dobmpc,w_x,1.4794,0.0000
dp,CD,dobmpc,w_y,-0.0000,0.0000
dp,CD,dobmpc,n_fail,0.0000,0.0000
dp,CD,mpc/dobmpc,DRR,7.3169,0
dp,CW,pid,radial_rms,13.5074,0.0000
dp,CW,pid,radial_max,23.0449,0.0000
dp,CW,pid,dc_ex,7.4266,0.0000
dp,CW,pid,dc_ey,6.0182,0.0000
dp,CW,pid,std_x,8.3511,0.0000
dp,CW,pid,std_y,4.6189,0.0000
dp,CW,pid,depth_std,0.2000,0.0000
dp,CW,pid,pitch_mean,4.1903,0.0000
dp,CW,pid,pitch_max,8.5645,0.0000
dp,CW,pid,IAE,78.4172,0.0000
dp,CW,pid,IAE_norm,12.8968,0.0000
dp,CW,pid,settling_time,0.0000,0.0000
dp,CW,pid,ss_error,12.8968,0.0000
dp,CW,pid,control_effort,15.4427,0.0000
dp,CW,pid,slew,12.0866,0.0000
dp,CW,pid,sat_freq,0.0000,0.0000
dp,CW,pid,band_dc,0.0000,0.0000
dp,CW,pid,band_wave,6.5712,0.0000
dp,CW,pid,band_high,3.3581,0.0000
dp,CW,pid,est_err_rms,0.0000,0.0000
dp,CW,pid,w_x,0.0000,0.0000
dp,CW,pid,w_y,0.0000,0.0000
dp,CW,pid,n_fail,0.0000,0.0000
dp,CW,mpc,radial_rms,3.2864,0.0000
dp,CW,mpc,radial_max,11.1803,0.0000
dp,CW,mpc,dc_ex,2.5167,0.0000
dp,CW,mpc,dc_ey,0.6787,0.0000
dp,CW,mpc,std_x,1.2265,0.0000
dp,CW,mpc,std_y,1.5817,0.0000
dp,CW,mpc,depth_std,0.0978,0.0000
dp,CW,mpc,pitch_mean,8.0189,0.0000
dp,CW,mpc,pitch_max,11.3779,0.0000
dp,CW,mpc,IAE,24.6303,0.0000
dp,CW,mpc,IAE_norm,3.2083,0.0000
dp,CW,mpc,settling_time,0.7540,0.0000
dp,CW,mpc,ss_error,3.2083,0.0000
dp,CW,mpc,control_effort,29.4908,0.0000
dp,CW,mpc,slew,32.6867,0.0000
dp,CW,mpc,sat_freq,0.0000,0.0000
dp,CW,mpc,band_dc,0.0000,0.0000
dp,CW,mpc,band_wave,0.9761,0.0000
dp,CW,mpc,band_high,0.4742,0.0000
dp,CW,mpc,est_err_rms,0.0000,0.0000
dp,CW,mpc,w_x,0.0000,0.0000
dp,CW,mpc,w_y,0.0000,0.0000
dp,CW,mpc,n_fail,0.0000,0.0000
dp,CW,dobmpc,radial_rms,0.4680,0.0000
dp,CW,dobmpc,radial_max,11.1803,0.0000
dp,CW,dobmpc,dc_ex,-0.1440,0.0000
dp,CW,dobmpc,dc_ey,-0.0671,0.0000
dp,CW,dobmpc,std_x,0.4374,0.0000
dp,CW,dobmpc,std_y,0.0501,0.0000
dp,CW,dobmpc,depth_std,0.1137,0.0000
dp,CW,dobmpc,pitch_mean,8.6144,0.0000
dp,CW,dobmpc,pitch_max,14.1603,0.0000
dp,CW,dobmpc,IAE,12.2697,0.0000
dp,CW,dobmpc,IAE_norm,0.4227,0.0000
dp,CW,dobmpc,settling_time,0.8540,0.0000
dp,CW,dobmpc,ss_error,0.4227,0.0000
dp,CW,dobmpc,control_effort,27.0193,0.0000
dp,CW,dobmpc,slew,33.4828,0.0000
dp,CW,dobmpc,sat_freq,0.0000,0.0000
dp,CW,dobmpc,band_dc,0.0000,0.0000
dp,CW,dobmpc,band_wave,0.4343,0.0000
dp,CW,dobmpc,band_high,0.0282,0.0000
dp,CW,dobmpc,est_err_rms,0.0427,0.0000
dp,CW,dobmpc,w_x,1.6654,0.0000
dp,CW,dobmpc,w_y,-0.1067,0.0000
dp,CW,dobmpc,n_fail,0.0000,0.0000
dp,CW,mpc/dobmpc,DRR,7.0215,0
dp,CDW,pid,radial_rms,13.2645,0.0000
