scenario,direction_deg,wave_deg,mode,seed,controller,wall,radial_rms,radial_max,dc_ex,dc_ey,dc_radial,std_x,std_y,depth_std,pitch_mean,pitch_max,IAE,IAE_norm,settling_time,ss_error,control_effort,slew,sat_freq,band_dc,band_wave,band_high,est_err_rms,w_x,w_y,n_fail
square,300.6,232.9,NONE,0,pid,21.36,17.788540899916807,25.30452734674842,0.2868188176137292,0.3105860272102269,0.42276318954654674,15.814655408104947,8.133273200653871,2.0962458812520534e-14,-5.3591191452250974e-14,6.983196685005758e-13,4525.398891260668,17.074215185336882,0.0,17.074215185336882,1123.9651999469013,899.2066455964672,0.0,0.651249111715094,5.465346775944864,0.48315634250032735,0.0,0.0,0.0,0
square,300.6,232.9,NONE,0,mpc,30.16,2.057210609171409,7.725652129171362,0.0041955076906595185,0.08963251095476554,0.08973064863712146,1.3441841332470517,1.5547452901068501,0.07689378300927452,0.024841753935089268,2.0311857342954625,299.0630074951927,1.1235095235725696,260.766000000517,1.1235095235725696,5513.506555746902,10060.114759886234,0.0,0.016309807287264656,0.9856826539695245,0.17498719654258138,0.0,0.0,0.0,0
square,300.6,232.9,NONE,0,dobmpc,43.6,2.091276123752608,7.735524518565325,0.004097771290019479,0.08944251682651937,0.08953633645513707,1.3729648397174161,1.5749243217156994,0.07487028201392952,0.024495625531824463,2.003408964225495,304.4598165519264,1.1438459842609705,260.766000000517,1.1438459842609705,5582.643334150906,10227.51917089767,0.0,0.016591416574427968,1.0150603541374545,0.1746058739009805,0.1745421615015226,-0.0005251654126514182,-0.0003749516966418481,0
square,300.6,232.9,NONE,1,pid,23.69,17.788540899916807,25.30452734674842,0.2868188176137292,0.3105860272102269,0.42276318954654674,15.814655408104947,8.133273200653871,2.0962458812520534e-14,-5.3591191452250974e-14,6.983196685005758e-13,4525.398891260668,17.074215185336882,0.0,17.074215185336882,1123.9651999469013,899.2066455964672,0.0,0.651249111715094,5.465346775944864,0.48315634250032735,0.0,0.0,0.0,0
square,300.6,232.9,NONE,1,mpc,29.75,2.057210609171409,7.725652129171362,0.0041955076906595185,0.08963251095476554,0.08973064863712146,1.3441841332470517,1.5547452901068501,0.07689378300927452,0.024841753935089268,2.0311857342954625,299.0630074951927,1.1235095235725696,260.766000000517,1.1235095235725696,5513.506555746902,10060.114759886234,0.0,0.016309807287264656,0.9856826539695245,0.17498719654258138,0.0,0.0,0.0,0
square,300.6,232.9,NONE,1,dobmpc,42.0,2.091276123752608,7.735524518565325,0.004097771290019479,0.08944251682651937,0.08953633645513707,1.3729648397174161,1.5749243217156994,0.07487028201392952,0.024495625531824463,2.003408964225495,304.4598165519264,1.1438459842609705,260.766000000517,1.1438459842609705,5582.643334150906,10227.51917089767,0.0,0.016591416574427968,1.0150603541374545,0.1746058739009805,0.1745421615015226,-0.0005251654126514182,-0.0003749516966418481,0
square,300.6,232.9,NONE,2,pid,21.19,17.788540899916807,25.30452734674842,0.2868188176137292,0.3105860272102269,0.42276318954654674,15.814655408104947,8.133273200653871,2.0962458812520534e-14,-5.3591191452250974e-14,6.983196685005758e-13,4525.398891260668,17.074215185336882,0.0,17.074215185336882,1123.9651999469013,899.2066455964672,0.0,0.651249111715094,5.465346775944864,0.48315634250032735,0.0,0.0,0.0,0
square,300.6,232.9,NONE,2,mpc,28.87,2.057210609171409,7.725652129171362,0.0041955076906595185,0.08963251095476554,0.08973064863712146,1.3441841332470517,1.5547452901068501,0.07689378300927452,0.024841753935089268,2.0311857342954625,299.0630074951927,1.1235095235725696,260.766000000517,1.1235095235725696,5513.506555746902,10060.114759886234,0.0,0.016309807287264656,0.9856826539695245,0.17498719654258138,0.0,0.0,0.0,0
square,300.6,232.9,NONE,2,dobmpc,43.16,2.091276123752608,7.735524518565325,0.004097771290019479,0.08944251682651937,0.08953633645513707,1.3729648397174161,1.5749243217156994,0.07487028201392952,0.024495625531824463,2.003408964225495,304.4598165519264,1.1438459842609705,260.766000000517,1.1438459842609705,5582.643334150906,10227.51917089767,0.0,0.016591416574427968,1.0150603541374545,0.1746058739009805,0.1745421615015226,-0.0005251654126514182,-0.0003749516966418481,0
square,300.6,232.9,NONE,3,pid,21.34,17.788540899916807,25.30452734674842,0.2868188176137292,0.3105860272102269,0.42276318954654674,15.814655408104947,8.133273200653871,2.0962458812520534e-14,-5.3591191452250974e-14,6.983196685005758e-13,4525.398891260668,17.074215185336882,0.0,17.074215185336882,1123.9651999469013,899.2066455964672,0.0,0.651249111715094,5.465346775944864,0.48315634250032735,0.0,0.0,0.0,0
