scenario,mode,controller,metric,mean,std
dp,C,pid,radial_rms,0.9364,0.0466
dp,C,pid,radial_max,18.5537,0.0552
dp,C,pid,dc_ex,0.0767,0.0087
dp,C,pid,dc_ey,-0.0133,0.0000
dp,C,pid,std_x,0.9326,0.0461
dp,C,pid,std_y,0.0329,0.0000
dp,C,pid,depth_std,0.1002,0.0414
dp,C,pid,pitch_mean,7.6705,1.9899
dp,C,pid,pitch_max,11.0627,2.6958
dp,C,pid,IAE,174.7576,2.1212
dp,C,pid,IAE_norm,0.2578,0.0153
dp,C,pid,settling_time,11.4380,0.1414
dp,C,pid,ss_error,0.2578,0.0153
dp,C,pid,control_effort,207.0500,14.9742
dp,C,pid,slew,3.9255,0.1875
dp,C,pid,sat_freq,0.0000,0.0000
dp,C,pid,band_dc,0.0000,0.0000
dp,C,pid,band_wave,0.6871,0.0263
dp,C,pid,band_high,0.1942,0.0055
dp,C,pid,est_err_rms,0.0000,0.0000
dp,C,pid,w_x,0.0000,0.0000
dp,C,pid,w_y,0.0000,0.0000
dp,C,pid,n_fail,0.0000,0.0000
dp,C,mpc,radial_rms,3.0169,0.1248
dp,C,mpc,radial_max,11.1803,0.0000
dp,C,mpc,dc_ex,3.0168,0.1248
dp,C,mpc,dc_ey,-0.0000,0.0000
dp,C,mpc,std_x,0.0229,0.0034
dp,C,mpc,std_y,0.0000,0.0000
dp,C,mpc,depth_std,0.0134,0.0024
dp,C,mpc,pitch_mean,7.6086,1.9756
dp,C,mpc,pitch_max,13.5522,2.7361
dp,C,mpc,IAE,368.5749,14.8306
dp,C,mpc,IAE_norm,3.0168,0.1248
dp,C,mpc,settling_time,1.1160,0.0200
dp,C,mpc,ss_error,3.0168,0.1248
dp,C,mpc,control_effort,210.6663,14.9815
dp,C,mpc,slew,15.8400,0.6814
dp,C,mpc,sat_freq,0.0000,0.0000
dp,C,mpc,band_dc,0.0000,0.0000
dp,C,mpc,band_wave,0.0221,0.0035
dp,C,mpc,band_high,0.0014,0.0006
