t,px,py,pz,qw,qx,qy,qz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cur_x,cur_y,cur_z,wav_x,wav_y,wav_z,kick_x,kick_y,kick_z,u0,u1,u2,u3,u4,u5,dist_on
6.0699999999995535,-0.017895763828708933,-0.005262591760679917,0.004835787935849353,0.9972876712894027,-0.010914098610611937,-0.07278775250425705,-0.00035529010155841404,-0.021951613442205482,-0.14570339936039908,0.00088959882372493,-0.016152037737293918,0.012472124023439946,0.045318852703857875,0.06376644413851203,0.2918321769964243,-0.00834004947414794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0374119290952974,1.875563208268424,1.0511367714638564,-1.6984570979541642,-1.9453427998112682,-1.772552054469868,0.0
6.091999999999551,-0.018233379804075092,-0.0049906756836423346,0.00581030496610195,0.9975229724004793,-0.01019162118695066,-0.06959691135803919,-0.0005659684745993737,-0.020453540569650708,-0.13931074684069075,0.0002923095183799235,-0.014392127424207765,0.012225642497142204,0.04307025649394496,0.0649471386030407,0.28997189783397215,-0.038436115936736355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.016138180270341,1.838679608605858,1.0437098772993856,-1.63714394735035,-1.9454077831883994,-1.7531801249939305,0.0
6.113999999999549,-0.01853338459555165,-0.004720891503395895,0.006735447319429861,0.9977460077550452,-0.009430231609227938,-0.06642895714742841,-0.0010809222770461642,-0.018841774246692068,-0.13297033789392335,-0.0009121429716506377,-0.012734291838740027,0.012379799569619428,0.040851421593110525,0.06763281828464614,0.2880879537743666,-0.05723768478137405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16416208587653258,0.4615983388934547,-0.16701650537812518,-0.9954770420893624,-1.9123478541539392,-1.6889149678949686,0.0
6.135999999999546,-0.018790599584635578,-0.004448456192267658,0.007613535160618022,0.9979565820815702,-0.008631649056335748,-0.06328696779541146,-0.0017072263763911765,-0.017150200595731514,-0.12668334254472702,-0.002333636760174597,-0.010169260165419,0.012395309109941603,0.038825195591572284,0.06983823288404516,0.2846397731945267,-0.059632478947312946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548980604067038,0.5719510270223255,-0.7776346961385052,-0.8161541214065543,-1.9009447693183181,-1.6674148864845562,0.0
6.157999999999544,-0.018982981936648533,-0.004174931547439171,0.008448215066871096,0.9981537189597989,-0.007808322211608421,-0.06018942016270425,-0.0023274731876391035,-0.015420026517073693,-0.12048422346780473,-0.003733469466529081,-0.007242753402929417,0.01249444309817442,0.0368611875671674,0.07241856966853079,0.2803664440330472,-0.05380874863715373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2511328681243166,-0.2971934819992579,-1.4337271039317179,-0.23262235555323735,-1.9382139442073754,-1.5771440919302224,0.0
6.179999999999541,-0.01911965826047301,-0.003904389152179219,0.009239332050535624,0.9983384294850801,-0.006969458071798088,-0.05713142573368954,-0.0027941118596341496,-0.013686317363811916,-0.1143610572040545,-0.004814052694656111,-0.005058595516722134,0.01199235574030485,0.034873412332571456,0.07364781211553147,0.2771698215406685,-0.02938180739345539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5453025307126347,-0.7259524087835233,-2.0318183205110665,1.027946731866494,-1.9719003908814132,-1.5027139549248354,0.0
6.201999999999539,-0.019212123685007954,-0.003647746524408176,0.009986439851078282,0.99851207748768,-0.006139822674596894,-0.054103497940102656,-0.0029572283317806083,-0.01201203568307012,-0.10829385229966589,-0.005272193703317045,-0.0032093006690385173,0.011262603101667223,0.032860512877778636,0.07387782415023407,0.27441846374202283,0.0008086376689281382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5071060568425032,-0.7903227652314264,-2.0261239045537254,1.2058851312934482,-1.9671958901648714,-1.4928985456604682,0.0
6.223999999999537,-0.019267864353247777,-0.003406375986676068,0.01068914714382291,0.9986753721114333,-0.005325243458775982,-0.05110107463215041,-0.0027969790190694116,-0.010405080304283932,-0.10227476659574333,-0.005068805466745971,-0.0017914960376210966,0.010642533292293869,0.030836177278978867,0.07422822992850951,0.272217933812286,0.02804744639667449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2475783764728385,-0.7944964654300207,-1.7343503688643442,1.063146035588431,-1.9348181599793572,-1.4872355106585098,0.0
6.245999999999534,-0.019294634261271985,-0.0031779720856830573,0.011347273912336949,0.9988285877492056,-0.004521048085329934,-0.04811963534558513,-0.0023480019899847107,-0.008846634834319102,-0.09629652330609494,-0.004275220406126406,-0.0005359821239501865,0.010072676066365806,0.028809702672114277,0.07464235530183037,0.27016793806383055,0.05351640591373216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2161281835812194,-0.7948923645977842,-1.6976739523071442,1.0450248488315799,-1.9305744957947546,-1.486511494715686,0.0
6.267999999999532,-0.019290780139623844,-0.0029638085141166543,0.011961160229379503,0.9989713653268535,-0.003728058214036248,-0.04516148282481553,-0.0016593095005502743,-0.00732854008779121,-0.09036536385433708,-0.0029906830211666557,0.0014145056300224684,0.009377230389075062,0.026851623815775324,0.07407533979048654,0.2669622804339663,0.06421281943587218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49962135073514763,0.8803348132017945,-0.940256333580556,-0.6280484402021755,-1.87463827391934,-1.5462596695551445,0.0
6.289999999999529,-0.019222573594012575,-0.0027620183462765463,0.012533818529297048,0.9991021307851444,-0.002940510040816067,-0.04225378841680003,-0.0009502766508395995,-0.005816237768187421,-0.08453794675915027,-0.0016562670984194673,0.0053562388032430954,0.008936791624782154,0.02506120742673485,0.07400700297936373,0.2604519822687795,0.05761961429722064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5829810696848473,1.694294522706555,-0.8145738730118008,-1.386412790083436,-1.8631367185943137,-1.5588871008750333,0.0
6.311999999999527,-0.019061406097421848,-0.002571567178803164,0.013067535009545272,0.9992202278748925,-0.0021524242938432132,-0.03942314864467138,-0.00034442161302585146,-0.004287676635887956,-0.07886803445822642,-0.000520212488709465,0.009699701744666327,0.008160767811516369,0.02330883137839158,0.07243528912409784,0.25311946414056385,0.04282001499726053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42304991027575856,2.3307323738775394,-0.798163728103288,-2.092291432859316,-1.7931681656538256,-1.5738257372367035,0.0
6.3339999999995245,-0.018800379035215305,-0.002403231665053305,0.013563404720806657,0.9993262320847011,-0.001385882749637294,-0.0366764166879786,4.0685731761353316e-05,-0.0027803659931390124,-0.07336910473181636,0.0001834686522245523,0.014488773064007355,0.00701795992932208,0.021616387344081264,0.0686562218455372,0.24502358961986404,0.017418909735308602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7498005539019229,2.6138042758903386,-0.795302243457992,-2.4198683531594174,-1.7620032424246757,-1.5802073126856766,0.0
6.355999999999522,-0.0184335438076675,-0.002260678617840773,0.01402193895873527,0.9994209453207831,-0.0006526814819281115,-0.03401955731653092,0.00013334535391610627,-0.001316727927974688,-0.06805205581860115,0.000311665550470859,0.019162387555326774,0.005866908147350795,0.01991443565690238,0.06440014716403565,0.23700556615380503,-0.009155391560633412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7920665919727183,2.062333077474135,-0.7949815189870182,-2.135887740940813,-1.6161178937686826,-1.6432746025749378,0.0
6.37799999999952,-0.017978125678374864,-0.0021406105943758682,0.01444309447777363,0.9995055975106566,3.823689344179701e-05,-0.03144134026625349,-3.471408944858067e-05,7.877463969876637e-05,-0.06289304292827219,-7.19405265856336e-05,0.022405741392836704,0.004982686741960371,0.01821558111978668,0.05911335245666033,0.2311597420434946,-0.028008804317165216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7946446150978782,1.4488972014788717,-0.7949459782855354,-1.7620788082427954,-1.4433101424140617,-1.7250529440688138,0.0
6.399999999999517,-0.01745587702544014,-0.0020394883644266667,0.014826750712369685,0.999581314913239,0.0006749506954247732,-0.028923699574888596,-0.0003986486941251218,0.0013746974753122542,-0.05785491100582346,-0.0008374089045019683,0.02532056537206815,0.004134824121302435,0.016505009084905105,0.05347326498423406,0.22584372225010357,-0.044742021690360546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5059604469764646,0.9787597471754063,-0.8416841601777909,-1.6340592376773853,-1.400686703421854,-1.7463055567174146,0.0
6.421999999999515,-0.016869276392973878,-0.0019475971643616718,0.01517335820952209,0.9996485627216248,0.0012630953260666699,-0.026464540985732223,-0.0008852735182969507,0.0025757700937302256,-0.0529329596807732,-0.0018393565554368474,0.02854618974610429,0.004257017437552824,0.014882088796210696,0.049940165328722155,0.22000093482487415,-0.0440342372040746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.487650465708099,0.520983071765565,-1.411961830714309,-0.8947851170426308,-1.1797247141380762,-1.8648737039672911,0.0
6.443999999999512,-0.01619727084513406,-0.001849295337716224,0.015485340990352368,0.9997075340187473,0.0018134445613189015,-0.024080124680363985,-0.0013059250960120688,0.0036930123836215784,-0.04816004250610948,-0.0027015579166314646,0.033051217666828336,0.004762510919422682,0.013343181845862096,0.047326849912529875,0.21203124079005042,-0.03298185238430163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2138531033352997,0.5866865249849487,-1.507617710083518,-0.8098189162174833,-1.1499211107859237,-1.8821590609207923,0.0
6.46599999999951,-0.015426033076988512,-0.0017350618266254961,0.015763576088096382,0.9997587025227775,0.0023401217897576986,-0.02178441309231586,-0.001581109169211504,0.004752528349341426,-0.04356469196341162,-0.003266516708185655,0.03740742304944051,0.00582630799586146,0.011824848227076707,0.04726719866798562,0.2041589487029002,-0.014918914684047921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5668437540148736,-0.5290395797456324,-1.9571691824563542,-0.7971371609471422,-1.1911725327948697,-1.7584578644585545,0.0
6.4879999999995075,-0.014559886094991823,-0.0015938607680346982,0.016008848705210143,0.9998029489616574,0.0028722932595489077,-0.01957509709579098,-0.0016213428676938007,0.0058114146350410735,-0.03914316066887254,-0.0033570754058631427,0.04171286616689643,0.007144184747063477,0.010336299107452356,0.04904600138929334,0.19634320824896973,0.009295626061041081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6506426368824396,-0.7659652138727809,-2.0861830667636627,-0.7951859655175338,-1.202866215965276,-1.7258930903600007,0.0
6.509999999999505,-0.013599712059092195,-0.0014244269614110399,0.016221370281191555,0.9998408814098729,0.0034192486196532707,-0.017452187830527956,-0.0013934634309659274,0.006890296493384001,-0.034896374649496395,-0.0029076044408832213,0.04584463602834632,0.008138395700602598,0.008864368980724586,0.05059238000789351,0.18872818669743824,0.031030689560900875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672794873703106,-0.15611532572496573,-1.7288180491731193,-0.7976773873766458,-1.3996906412755366,-1.4244369740181098,0.0
