scenario,direction_deg,mode,seed,controller,wall,radial_rms,radial_max,dc_ex,dc_ey,dc_radial,std_x,std_y,depth_std,pitch_mean,pitch_max,IAE,IAE_norm,settling_time,ss_error,control_effort,slew,sat_freq,band_dc,band_wave,band_high,est_err_rms,w_x,w_y,n_fail
square,300.6,C,0,pid,5.79,21.607009075671417,34.75786237606957,0.8842325902701323,0.5470880345539149,1.0397944947189772,18.994880741073892,10.245788121822518,0.471277551230607,-2.1668901666462292,14.106333026036786,2739.183218760828,20.761489697339858,0.0,20.761489697339858,977.7511627186273,477.9498891953307,0.0,1.251205191660717e-15,8.095536648741776,1.0463770604293774,0.0,0.0,0.0,0
square,300.6,C,0,mpc,8.44,3.341555941721059,8.275303426267435,1.2881378748000645,-2.316876883656971,2.6508899785767164,1.4140074921451953,1.4626555456737274,0.009460923165452119,-0.027403294577283226,0.06404547475031651,412.03945107384783,3.0720644968039412,120.7879999998999,3.0720644968039412,2304.531002401046,2489.781176359391,0.0,1.52799925634481e-16,1.044994826342604,0.18516161517418173,0.0,0.0,0.0,0
square,300.6,C,0,dobmpc,80.17,2.086596607804241,7.098856276307296,-0.13249485887901352,0.09167699411653828,0.16111970357350308,1.3790123412458921,1.557642708554204,0.052626736572845355,0.006073386498979751,1.793479208629751,151.10511052161684,1.1353185534408017,127.75599999988366,1.1353185534408017,2730.4432482429693,3515.454604364333,0.0,1.2187063555136853e-17,1.0299527080226911,0.18384982709453165,0.11493855626211603,0.9567949465253401,-1.6836536075279585,0
square,300.6,CD,0,pid,6.13,21.699740034496326,35.26728526671198,0.9250227954725276,0.5111508397824113,1.056854934773015,19.064388700733677,10.310715720982063,0.4845925635503171,-2.249538974210421,14.331458700058118,2747.102076218435,20.8474787888375,0.0,20.8474787888375,992.4991890051423,478.95274903195445,0.0,8.464469596476869e-16,8.090962495783561,1.0283326280047085,0.0,0.0,0.0,0
square,300.6,CD,0,mpc,9.45,3.3975103344628774,8.375954776568488,1.3188567114842806,-2.3719169880246715,2.7139221108033222,1.419226957547314,1.4708834393812065,0.00949687869807934,-0.02739069330575596,0.0635515667622381,418.1887085701211,3.1275206346451396,120.7879999998999,3.1275206346451396,2323.9963119964373,2505.9268347606153,0.0,3.0190680170679934e-17,1.0496690081436413,0.18512744451086582,0.0,0.0,0.0,0
square,300.6,CD,0,dobmpc,80.22,2.0863138429777726,7.094426831965865,-0.13516762800412133,0.09038270587206162,0.16260172563972417,1.3789692045437811,1.5571480543415117,0.05250641482837171,0.005670910992331633,1.790700457022618,151.26439713965175,1.1367057896430446,127.75599999988366,1.1367057896430446,2746.771149158705,3724.546897076535,0.0,8.494013992974171e-18,1.0301781482342112,0.18386787284651,0.1254898775837925,0.9793023866587804,-1.7243130256717585,0
square,300.6,CW,0,pid,9.78,49.99482363417033,160.49475562148766,15.831257770694354,0.4203708530614949,15.83683788691019,45.59260449529708,13.038073910318909,4.24840169875467,-2.4472067702701605,29.599778933704403,5467.113786826988,42.10019396776183,0.0,42.10019396776183,1467.505922165641,779.1561762746135,0.0,2.3458250818857363e-15,36.863633439821804,1.9974965000434999,0.0,0.0,0.0,0
square,300.6,CW,0,mpc,12.6,7.340462238975573,21.153463970543633,2.0231837841679963,-2.436232745968085,3.1667811129043204,6.3527548124317805,1.8698635131751244,0.9002045917316693,-0.028919677459667635,0.49831208814974365,802.7544399621636,6.220662153214015,126.87199999988572,6.220662153214015,4376.726113484615,3319.2173503977265,0.0,6.86907218562259e-17,6.1590163817310515,0.18951779020276222,0.0,0.0,0.0,0
square,300.6,CW,0,dobmpc,90.02,3.5409009581759325,22.626669115017133,0.1591397388959263,-0.013511228826528374,0.15971227191504858,2.386598409387063,2.610865683661668,1.216502526386647,-0.04463238933958668,28.989888563555628,241.1911279858433,1.8549699466643816,128.26599999988434,1.8549699466643816,8037.037098266373,9994.038872484798,0.0,1.4772198248650732e-17,1.8912171188615896,0.19384487772915687,0.3412956003535502,1.3311717696329401,-1.784036990556258,1
square,300.6,CDW,0,pid,10.11,50.9601882743773,170.4094832245519,16.452330850199953,0.3861716533840771,16.456862366511988,46.42570172202897,13.067772940591698,4.155075559456669,-2.1081455117518475,29.965340456080977,5509.936784022618,42.45300528851049,0.0,42.45300528851049,1483.232802400263,777.031333028227,0.0,4.0180379236329987e-16,37.43865894786815,1.9704389671080924,0.0,0.0,0.0,0
square,300.6,CDW,0,mpc,12.83,7.4108683419951085,21.65564591167149,2.0855912327916384,-2.4936375996974576,3.250833626767485,6.390317707650784,1.875337278664276,0.9005444625387238,-0.029081297638932718,0.5131852816092234,809.6489792584091,6.279343402241108,126.9239999998856,6.279343402241108,4402.336505693487,3329.4510369856116,0.0,4.475976069341172e-16,6.190321901039187,0.18997682759590104,0.0,0.0,0.0,0
square,300.6,CDW,0,dobmpc,102.46,2.9576787149990666,16.70173401498507,-0.1021197241004676,-0.10974670496575906,0.1499092302068054,1.7205164084585223,2.401085981817878,0.9295752065455205,-0.07547287073039266,5.359630051944675,220.38598177922387,1.6885222118062178,127.91199999988329,1.6885222118062178,6169.295774968996,7550.340181513571,0.0,2.5297389500814376e-17,1.3556657841672461,0.19255405737904485,0.24933604007975602,1.3746366251119932,-1.8194766911764226,0
